Fine-tuning t5-large...
Step: 100, Loss: 0.3200
Step: 200, Loss: 0.2356
Step: 300, Loss: 0.1709
Step: 400, Loss: 0.1326
Step: 500, Loss: 0.1085
Step: 600, Loss: 0.0918
Step: 700, Loss: 0.0796
Step: 800, Loss: 0.0704
Step: 900, Loss: 0.0633
Step: 1000, Loss: 0.0576
Step: 1100, Loss: 0.0528
Step: 1200, Loss: 0.0488
Step: 1300, Loss: 0.0454
Step: 1400, Loss: 0.0425
Step: 1500, Loss: 0.0400
Epoch 1/10, Train Loss: 0.0388
---val test in answer status---
authoritarian | ignore
hoverboard | space shuttle
flower garden | botanic garden
attic | desk
allergic reaction | food poisoning
shocked | shocked
heretical | heretical
look around | breathe deeply
health center | health center
south | earth
apartment | apartment
sandplain | gorge
listen to music | listen to music
prepare for going | prepare to go
satisfaction | satisfaction
music store | music store
space center | space center
building | building
end pain | unhappy
sparse | slender
blisters | blisters
exercise | think
do crossword puzzle | do crossword puzzle
jigsaw puzzle | puzzle box
wildlife refuge | toy store
eat corn | eat corn
feeling of guilt | feeling of guilt
repair shop | parking garage
blacksmith's shop | blacksmith's shop
dangerous | dangerous
train station | train station
injury | injury
own family | own family
necklace | motorcycle
shelf | table
retain | engage
motel room | motel room
compete with each other | compete with each other
modern house | modern house
water cooler | water cooler
backpack | backpack
home team | at home
high school or college | old people's home
melting | melting
french | chinese food
beach | florida
huge | tall
get laid | get laid
may laugh | may laugh
lose weight | lose weight
winter storm | winter storm
main office | center
supermarket | supermarket
dull read | anthology
go back to work | get food
jump | jump
surf net | surf net
being for | being for
frustration | blisters
disparagement | disparagement
procrastination | procrastination
time consuming | time consuming
see favorite show | see favorite show
cash in | cash in
make love | make love
bookstore | shopping mall
contaminated | contaminated
perform surgery | let blood
welcome change | welcome change
time | money
score points | score points
fatigue | fatigue
dedication | dedication
hear sounds | hear sounds
learning | learning
wash dishes | wash dishes
warehouse | warehouse
roof | floor
map | map
heart attacks | heart attacks
cinema | in cinema
bookstore | train station
seed crops | seed crops
party | party
pool hall | pool hall
cash register | cash register
attic | attic
birthday party | birthday party
grocery bag | grocery bag
playroom | playroom
painting | painting
house | surface of earth
fearless | fearless
enjoyment | happiness
supermarket | hair salon
artist's studio | artist's studio
breaks to help stop | breaks to help stop
carpenter's shop | carpenter's shop
injuries | injuries
orchestra | orchestra
see light | see light
backyard | backyard
resthold | in motion
meow | meow
atlas | atlas
outside | outside
rain forest | rain forest
tree | san francisco
hat rack | hat rack
rest area | rest area
kill bill | settle everything
human being | human being
beach | seaside town
talking nonsense | talking nonsense
imprevist | new
die | die
bored | deafness
drug store | drug store
eat plants | eat plants
musical | musical
laughter | glee
computer science | computer science
have sex | have sex
revolution | revolution
coke clear | original
tree tops | tree tops
fraternity house | building
air | oxygen
unfeeling | antipathy
port | port
fairgrounds | fairgrounds
petting zoo | petting zoo
contradict | deny
auditioning | listening to music
being happy | being happy
closed | closed
magazine | store
play piano | play piano
hockey game | hockey game
hospital bed | hospital bed
lay eggs | cross road
cure | cure
bookstore | train station
foot | foot
grill | bring home fish
wall | wall
theater | movies
inside the book | card catalogue
beast | beast
cabinet | shelf
grocery store | grocery store
gas stations | london
stairs | elevator
footloose | fast
mail box | mail box
erections | erections
winning or losing | winning or losing
skyscraper | skyscraper
spacecraft | villa
hawaiian waters | south pacific ocean
mexico | mexico
patent | think
movies | movies
mobile phone | wristwatch
sweating | feeling refreshed
children suffer | children suffer
radio station | radio station
neighbor's house | neighbor's house
compliments | equal opportunity
stationery store | desk drawer
cooking pot | beach sand
pantry | pantry
space shuttle | space shuttle
food | food
vent anger | control children
post office | bus stop
internet sites | internet sites
dealing | count
back pocket | back pocket
responsibility | evaluating
anger | anger
pet store | pet store
concern | education
slept | take center stage
hardware store | sporting goods store
slow down | slow down
entertainment | entertainment
trunk | car trunk
read | read
graduate | graduate
pain | pain
sailing vessel | sailing vessel
music room | music room
front porch | front porch
give speeches | complete sentences
buzz | buzz
feel more comfortable | feel more comfortable
atlantic ocean | atlantic ocean
satisfaction | gratitude
having fun | having fun
driving | driving
wear shoes | wear shoes
somber | somber
room | room
idaho | idaho
plane | plane
research laboratory | research laboratory
library | corner
basement | basement
pantry | pantry
illiterate | illiterate
book | newspaper
heat up | heat up
perfume | perfume
passing grade | passing grade
heat lamps | rocks
armpits | medicine chest
try to learn | try to learn
meeting | meeting
suface of moon | ground
say thank | show appreciation
dream | might dream
conjunction | conjunction
accidentally | knowingly
change yourself | change yourself
new hampshire | new hampshire
medicine cabinet | medicine cabinet
blisters | blisters
soft drink | soft drink
entertain | entertain
plantation | plantation
binder | binder
bookstore | bookstore
zoological gardens | zoological gardens
dangerous | dangerous
judge | judge
three arm span | three feet
new experiences | new experiences
penultimate | dissipate
fort knox | fort knox
care for children | care for children
hockey | hockey game
shopping center | shopping center
wires | wires
wrong house | wrong house
control | control
get news | get news
cupboard | cupboard
countryside | countryside
stage | party
england | england
kind | kind
economic instability | economic instability
gas | have fun
great granddad's house | brother's house
giving homework | open boxes
fast food restaurant | fast food restaurant
magazines | magazines
small talk | small talk
need for rest | need for rest
medicine | medicine
lose money | save money
regular | regular
work in life | work in life
mouth | mouth
pocket | pocket
chicken | chicken
hurt feelings | going to court
factory | factory
bedroom | bedroom
soup | soup
animal shelter | animal shelter
relaxation | relaxation
staying there | staying there
poker game | poker game
drugstore | drugstore
clothing store | clothing store
slaughterhouse | countryside
coral reef | open ocean
shopping malls | shopping malls
legal fees | legal fees
fruit cocktail | fruit cocktail
animal | ungulate
class room | library
populated area | populated area
run longer | tie shoelace
residential neighborhood | residential neighborhood
die of starvation | die of starvation
dinner | dinner
math book | math book
birds | butterflies
blush | avoid eye contact
night sky | night sky
create art | create art
row boat | row boat
act | singing
fatigue | anger
theatre | swimming pool
spend money | spend money
do work | do work
flea market | flea market
train | airplane
solar system | solar system
milk cow | step forward
space shuttle | space shuttle
socialize | socialize
run programs | power down
shop | shop
correct | acute angled
intelligence | intelligence
selling out | selling out
awesome | awesome
authentic | authentic
filing cabinet | filing cabinet
archeological site | cemetary
going to jail | going to jail
neat | neat
doctor himself | doctor himself
revealing information | more funding
his feet | surface of earth
walking out of | walking out of
curry | curry
office building | house
grocery store | grocery store
relaxation | relaxation
lead pencil | card game
drugstore | drugstore
wedding party | wedding party
table | table
fast food restaurant | fast food restaurant
naked | naked
restlessness | restlessness
office | office
basement | basement
agony | agony
gettysburg address | state of union
cabinet | own home
edge | edge
park | california
grief | isolation
marriage | marriage
beach | surface of earth
popularity | popularity
talent | talent
theater | theater
feel happy | feel happy
shelf | shelf
dirty dishes | dirty dishes
theater | theater
small case | small case
gift buyer | generous
chain | piano
school together | school together
boss | have knowledge
say goodbye | say goodbye
have legs | have legs
spinning wheel | spinning wheel
table | table
candy store | candy store
intoxicating | harmful
hotel | hotel
the ocean | body of water
big city | big city
landscape | landscape
watch film | watch film
lake | lake
create music | sadness
learn from each other | learn from each other
zoo | zoo
bathroom | bathroom
appear suddenly | appear suddenly
accomplish | accomplish
wave on | wave on
surface of earth | train station
fast food restaurant | fast food restaurant
pass sentence | pass sentence
house | house
library | health department
sit down | sit down
earth | earth
ignorance | ignorance
cow | cow
human body | hospital
body of water | body of water
body armor | body armor
populated area | populated area
hotel | motel
orchestra | orchestra
exchange | exchange
charming | charming
maps | maps
kitchen | wine press
nightmares | inspiration
spreadsheet | spreadsheet
state park | fairgrounds
worry | getting bored
office | office
conquer opponent | conquer opponent
unnecessary | unnecessary
airport | laundry room
police station | police station
bible | bible
furniture store | study
humidifier | humidifier
high walls | doors and windows
one head | two ears
concert hall | concert hall
frustration | frustration
appear beautiful | appear beautiful
airport | airport
frequent | frequent
losing weight | losing weight
fight enemy | urinate
look attractive | look attractive
knowing more | growth
blowing hard | blowing hard
enjoy | enjoy
lake superior | lake superior
desk | desk
table | table
cupboard | cupboard
problems | problems
wet clothes | wet ground
similarity | sum
reproduce | reproduce
garage | utility room
health | health
linen closet | linen closet
record store | record store
play piano | play piano
bought a book | learn to read
carry people | carry people
office supply store | office supply store
floor | floor
nome | tromsø
office supply store | office supply store
airport | airport
supermarket | chemistry lab
walking | walking
hands | hands
gym | gym
group together | group together
play | eat grass
bus stop | bus stop
bamboo grove | bamboo grove
light up | read book
feel sorry | feel sorry
garden of eden | garden of eden
candy bar | candy bar
hall | office building
rhythmic movement | rhythmic movement
bathroom | hall
listen carefully | listen carefully
school | school
pay bills | pay bills
junk yard | junk yard
honest | honest
sea world | sea world
less confusion | less confusion
military base | school
lift up | holding
fabric store | fabric store
city centre | city centre
small group | small group
cupboard | cupboard
egg carton | egg carton
purse | desk drawer
air out | air out
exhilaration | exhilaration
petrify | petrify
toy store | toy store
distress | distress
school children | school children
tighten | bound
mix | with people
hear crowd go mad | hear crowd go mad
conversation | exchange of ideas
selfishness | cleanliness
retail store | retail store
museum exhibit | museum of natural history
refrigerator | jar
sit | sit
lake | pond
concordance | nodding
mouth | mouth
tomb | tomb
trunk | trunk
united states | united states
strain | strain
good karma | good karma
errors | errors
theater | relax
large room | large room
architect | architect
shoreline | coastal area
share things | sail boats
shopping mall | shopping mall
home depot | home depot
eyes opening | eyes opening
pleasure | pleasure
transistor | transistor
bite | bite
stress | complications
better job | better job
zoo | zoo
make payments | make payments
shower stall | old cheese
garden of eden | new mexico
bar | bar
friend's house | friend's house
wine | coffee
fitness centre | health club
work hard | work hard
known person | known person
study engineering | study engineering
subway | subway
garden shed | utility closet
stress | become tired
rain | warm climate
getting drunk | drink too much
children | children
fear | fear
walk | walk
coffee shop | diner
exhilaration | reviving
classroom | classroom
meeting | meeting
bathroom | bathroom
flowers | flowers
post office | table
eye | eye
market | pizza
smiling | smiling
dinner | dinner
shake hands | shake hands
rude | well fed
regret | regret
work in school | work in school
office | office
searching for | searching for
fishing rod | fishing rod
fence post | sword
television | television
internet cafe | internet cafe
garage | garage
not tall | punctured
fast lane | fast lane
listening | watching tv
floor | nature
enter school | enter school
grocery store | restaurant
increased knowledge | increased knowledge
civilization | civilization
run away | run away
hotel | swimming pool
battleship | military
cremated | murdered
bowl | bowl
gain energy | bad breath
meditate | meditate
aquarium | coral reef
wage war | wage war
employability | employability
pretend | pretend
share food | share food
lost | losing money
continue learning | continue learning
geometry | geometry
space shuttle | space shuttle
demonstration | demonstration
most cities | most cities
foreign | foreign
schoolyard | schoolyard
process information | become sensible
feet | feet
kitchen drawer | kitchen drawer
winter | winter
wall | wall
airport | airport
funny | funny
serve | serve
excitement | excitement
kitchen cabinet | kitchen cabinet
depression | conversation
apartment | apartment
street | garage
experiment | experiment
falling asleep | falling asleep
cabinet | cabinet
bring rain | bring rain
neighbor's house | neighbor's house
destroy enemy | destroy enemy
farmers market | grocery store
comparison shopping | comparison shopping
sunset | daytime
contract | loose
talk | talk
conference | conference
very dense | very heavy
movie theatre | movie theatre
going to court | going to court
end of line | end of line
to get a sexy tan | warm place
bleeding | bleeding
library | store room
carry people | cross river
preschool | preschool
phonebook | phonebook
dangerous | dangerous
good looking | competitive
map | map
fall down | cast shadow
fork | fork
memorize | learn
making music | making music
pornography | pornography
phone book | town
museum | tomb
fainting | fainting
fish market | tidepools
show | demonstration
bloodshot eyes | bloodshot eyes
cupboard | cupboard
art museum | art museum
bowling alley | bowling alley
library | library
crawl | crawl
book store | suitcase
wild ride | wild ride
arm | arm
pass water | pass water
orchard | orchard
entertaining | getting paid for
skyscraper | apartment building
exceptional | worthy
theater | theater
tell time | tell time
opening | opening
work in teams | work in teams
bathroom | doorway
rest area | bus stop
firm | firm
alone | alone
spend money | spend money
shopping center | mall
office | office
sweating | sweating
have fun | have fun
theatre | theatre
sporting event | sporting goods store
new jersey | new jersey
chinatown | chinatown
urban area | urban area
shopping mall | shopping mall
lobby | lobby
large | large
direct sunlight | direct sunlight
ocean | ocean
dentist office | grocery store
euphoria | euphoria
resort | country club
road | road
pocket | pocket
newspaper | books
general store | bed
employee | employee
sexual attraction | sexual attraction
orbit | orbit
old man | old man
relief | relief
farmland | farmland
jazz band | music store
conference | conference
motorboat | motorboat
written material | written material
email | email
sun set | sun set
bouquet of flowers | bouquet of flowers
929
0.6835306781485468
val acc:0.6835306781485468
saving to  ./tmp/generate_model/t5large/WOCOT/t5large_2
Step: 100, Loss: 0.0026
Step: 200, Loss: 0.0026
Step: 300, Loss: 0.0026
Step: 400, Loss: 0.0027
Step: 500, Loss: 0.0026
Step: 600, Loss: 0.0026
Step: 700, Loss: 0.0026
Step: 800, Loss: 0.0026
Step: 900, Loss: 0.0026
Step: 1000, Loss: 0.0026
Step: 1100, Loss: 0.0026
Step: 1200, Loss: 0.0026
Step: 1300, Loss: 0.0025
Step: 1400, Loss: 0.0026
Step: 1500, Loss: 0.0026
Epoch 4/10, Train Loss: 0.0026
---val test in answer status---
authoritarian | ignore
populated areas | populated areas
atlas | atlas
pretty flowers | natural habitat
television | television
airport | airport
refrigerator | refrigerator
blotter | blotter
mall | business sector
fruit basket | grocery cart
harder | bitterness
rest area | garden
loss of heat | loss of heat
living room | kitchen
barbeque | barbeque
food court | food court
computer network | computer network
being found out | being found out
take money | take money
pet shops | pet shops
jail time | law suit
television | television
subdivision | subdivision
make breakfast | light fire
crumpled | saturated with water
beach | beach
government | government
headache | headache
wildlife refuge | wildlife refuge
paying | paying
illegal | dangerous
illness | stomach ache
gathering of information | social bonding
street | street
california | california
finish line | healthy body
proximity | proximity
late for work | late for work
demonstration | demonstration
water fountain | military base
feel safe | feel safe
headaches | frustration
apply for job | apply for job
headache | headache
lake or river | millpond
reach tentative agreement | reach tentative agreement
under rocks | under rocks
get smart | get smart
tennessee | tennessee
heal | heal
cloud judgment | feel good
sporting event | sporting event
owner | subordinate
respond | respond
library | mall
television | web page
skill | skill
surprise | circus
gain weight | gain weight
being bored | being bored
factory | construction site
progress | progress
fun | fun
store | store
desire | desire
satisfaction | satisfaction
freezer | freezer
band | symphony
violence | violence
reality | reality
parking lot | parking lot
trouble | trouble
finger | finger
stress | stress
office | office
present bill | present bill
depressed | depressed
wakefulness | wakefulness
field of flowers | field of flowers
closet | closet
marriage | being married
carried by people | fly
hands | hands
suicide | suicide
missing out | missing out
friend's house | friend's house
pub | pub
refrigerator | refrigerator
france | france
itches | feel pressure
end of line | end of line
handsomeness | neatness
united states | united states
tools | have tools
launch pad | aircraft carrier
purse | burlap sack
ground | bridge
applaud | applaud
math problem | math problem
supermarket | supermarket
sit | meet
knowledgable | knowledgable
prison | prison
outside | outside
mail box | front door
solitude | solitude
sights | sights
terrible | horrible
school grade | school grade
work | work
improved health | improved health
nailed | nailed
england | grassy field
economic instability | not noticeable
garage | hospital
music class | music class
plan to marry | plan to marry
happiness | happiness
break easily | break easily
ticket | ticket
city block | city block
orchestra | high school band
winners and losers | winners and losers
insubstantial | insubstantial
lack of money | lack of money
have fun | have fun
suburban home | suburban home
graph | graph
family room | family room
desk | desk
to fill their time | learning about
see things differently | see things differently
disorientation | disorientation
cars | street corner
rest stops | american city
city | city
present | closer
music shop | music shop
wave goodbye | wave goodbye
prepare food | cook dinner
feel angry | feel angry
think creatively | think creatively
getting good grades | getting good grades
fragile | fragile
your spine | engine
own cars | own cars
names | names
pond | pond
left foot | wedding
intimacy | communicating with others
barber shop | hair salon
players | players
learn | learn
wasted time | wasted time
outside | outside
feelings | feelings
inaccurate | inaccurate
have lunch | have lunch
gaining knowledge | gaining knowledge
electric locomotive | electric refrigerator
home | home
bike | car
speak spanish | stand upright
movie | movie
race track | race track
office depot | office depot
carved | polished
laughter | embarrassment
vegetable | vegetable
mississippi | mississippi
recording studio | recording studio
cause death | cause death
companionable | attached
sitting down | sitting down
rare | rare
isolation | grief
stellar | insignificant
canada | canada
pass time | pass time
time | patience
attractive appearance | attractive appearance
control computer | go on vacation
smooth skin | smooth skin
dress himself | dress himself
farmer's market | woods
shelf | shelf
death | death
dairy farm | dairy farm
play tag | play tag
pleasure | pleasure
shopping mall | big city
toy store | toy store
fire | fire
piggy bank | piggy bank
menu | menu
classroom | classroom
battlefield | battlefield
family room | family room
getting tired | getting tired
liquidated | liquidated
soccer | soccer game
front door | front door
street corner | bus stop
having money | making money
violin case | symphony orchestra
washing machine | washing machine
business meeting | business meeting
examine thing | read book
happiness | happiness
prison | neighbor's house
netherlands | netherlands
court | throne room
soccer field | street
getting drunk | getting drunk
larger house | larger house
rejection | rejection
easy | clear
mail orders | mail orders
good health | good health
serving dish | table setting
sheet music | sheet music
becoming tired | tennis elbow
amusement park | amusement park
infect | infect
grocery store | bakery
synagogue | synagogue
battle field | battle field
intelligent | intelligent
condition heart | expend energy
plain | plain
container | container
castle | chess board
swim | swim
criticism | criticism
kitchen | kitchen
debate | argument
fail to work | answering questions
frustration | being annoyed
river | great outdoors
front door | front door
cruel | cruel
football stadium | baseball stadium
indigestion | illness
irritation | irritation
sun himself | sun himself
big house | big house
birth | birth
being understood | being understood
play sports | play sports
dream dreams | drink coffee
city | city
being mean | being mean
space shuttle | space shuttle
flower garden | botanic garden
desk | desk
allergic reaction | food poisoning
shocked | shocked
heretical | heretical
look around | breathe deeply
health center | health center
south | earth
apartment | apartment
gorge | gorge
listen to music | listen to music
prepare for going | prepare to go
satisfaction | satisfaction
music store | music store
space center | space center
building | building
end pain | unhappy
sparse | slender
blisters | blisters
exercise | think
do crossword puzzle | do crossword puzzle
jigsaw puzzle | puzzle box
toy store | toy store
eat corn | eat corn
feeling of guilt | feeling of guilt
the event | parking garage
blacksmith's shop | blacksmith's shop
dangerous | dangerous
train station | train station
injury | injury
own family | own family
necklace | motorcycle
shelf | table
retain | engage
motel room | motel room
compete with each other | compete with each other
modern house | modern house
water cooler | water cooler
backpack | backpack
home team | at home
high school or college | old people's home
melting | melting
french | chinese food
beach | florida
huge | tall
get laid | get laid
being happy | may laugh
lose weight | lose weight
winter storm | winter storm
main office | center
supermarket | supermarket
dull read | anthology
go back to work | get food
jump | jump
surf net | surf net
being for | being for
frustration | blisters
being rude | disparagement
procrastination | procrastination
time consuming | time consuming
see favorite show | see favorite show
cash in | cash in
make love | make love
bookstore | shopping mall
contaminated | contaminated
heart transplant | let blood
welcome change | welcome change
time | money
score points | score points
fatigue | fatigue
dedication | dedication
hear sounds | hear sounds
learning | learning
wash dishes | wash dishes
warehouse | warehouse
roof | floor
map | map
heart attacks | heart attacks
cinema | in cinema
train station | train station
seed crops | seed crops
party | party
pool hall | pool hall
cash register | cash register
attic | attic
birthday party | birthday party
grocery bag | grocery bag
playroom | playroom
painting | painting
apartment | surface of earth
fearless | fearless
enjoyment | happiness
supermarket | hair salon
artist's studio | artist's studio
breaks to help stop | breaks to help stop
carpenter's shop | carpenter's shop
injuries | injuries
orchestra | orchestra
see light | see light
backyard | backyard
active | in motion
hello | meow
atlas | atlas
outside | outside
rain forest | rain forest
tree | san francisco
hat rack | hat rack
rest area | rest area
kill bill | settle everything
human being | human being
seaside town | seaside town
talking nonsense | talking nonsense
imprevist | new
die | die
bored | deafness
drug store | drug store
eat plants | eat plants
musical | musical
laughter | glee
computer science | computer science
have sex | have sex
revolution | revolution
coke clear | original
tree tops | tree tops
fraternity house | building
air | oxygen
antipathy | antipathy
port | port
fairgrounds | fairgrounds
petting zoo | petting zoo
contradict | deny
auditioning | listening to music
being happy | being happy
closed | closed
magazine | store
play piano | play piano
theater | hockey game
hospital bed | hospital bed
lay eggs | cross road
cure | cure
train station | train station
foot | foot
grill | bring home fish
wall | wall
theater | movies
inside the book | card catalogue
beast | beast
cabinet | shelf
grocery store | grocery store
airport | london
stairs | elevator
footloose | fast
mail box | mail box
erections | erections
winning or losing | winning or losing
skyscraper | skyscraper
spacecraft | villa
hawaiian waters | south pacific ocean
mexico | mexico
patent | think
movies | movies
mobile phone | wristwatch
sweating | feeling refreshed
lot of grief | children suffer
radio station | radio station
neighbor's house | neighbor's house
equal opportunity | equal opportunity
cabinet | desk drawer
cooking pot | beach sand
pantry | pantry
space shuttle | space shuttle
food | food
control children | control children
post office | bus stop
internet sites | internet sites
dealing | count
back pocket | back pocket
responsibility | evaluating
anger | anger
pet store | pet store
concern | education
slept | take center stage
hardware store | sporting goods store
slow down | slow down
entertainment | entertainment
trunk | car trunk
read | read
graduate | graduate
pain | pain
sailing vessel | sailing vessel
music room | music room
front porch | front porch
give speeches | complete sentences
buzz | buzz
feel more comfortable | feel more comfortable
atlantic ocean | atlantic ocean
satisfaction | gratitude
having fun | having fun
driving | driving
wear shoes | wear shoes
somber | somber
bathroom | room
idaho | idaho
plane | plane
research laboratory | research laboratory
library | corner
basement | basement
pantry | pantry
ignore | illiterate
book | newspaper
heat up | heat up
perfume | perfume
passing grade | passing grade
heat lamps | rocks
armpits | medicine chest
try to learn | try to learn
meeting | meeting
suface of moon | ground
say thank | show appreciation
dream | might dream
conjunction | conjunction
accidentally | knowingly
change yourself | change yourself
new hampshire | new hampshire
medicine cabinet | medicine cabinet
blisters | blisters
soft drink | soft drink
entertain | entertain
plantation | plantation
binder | binder
bookstore | bookstore
zoological gardens | zoological gardens
dangerous | dangerous
judge | judge
three feet | three feet
new experiences | new experiences
penultimate | dissipate
fort knox | fort knox
care for children | care for children
hockey | hockey game
shopping center | shopping center
wires | wires
wrong house | wrong house
control | control
get news | get news
cupboard | cupboard
countryside | countryside
stage | party
england | england
kind | kind
economic instability | economic instability
gas | have fun
great granddad's house | brother's house
giving homework | open boxes
fast food restaurant | fast food restaurant
magazines | magazines
small talk | small talk
need for rest | need for rest
drinkable | medicine
get money | save money
regular | regular
work in life | work in life
mouth | mouth
pocket | pocket
chicken | chicken
hurt feelings | going to court
factory | factory
bedroom | bedroom
soup | soup
animal shelter | animal shelter
relaxation | relaxation
staying there | staying there
poker game | poker game
drugstore | drugstore
clothing store | clothing store
cattle ranch | countryside
coral reef | open ocean
shopping malls | shopping malls
legal fees | legal fees
fruit cocktail | fruit cocktail
bomber | ungulate
class room | library
populated area | populated area
run longer | tie shoelace
residential neighborhood | residential neighborhood
die of starvation | die of starvation
dinner | dinner
math book | math book
birds | butterflies
blush | avoid eye contact
the ground | night sky
create art | create art
row boat | row boat
singing | singing
fatigue | anger
swimming pool | swimming pool
spend money | spend money
do work | do work
flea market | flea market
train | airplane
solar system | solar system
milk cow | step forward
space shuttle | space shuttle
socialize | socialize
run programs | power down
shop | shop
correct | acute angled
intelligence | intelligence
selling out | selling out
awesome | awesome
authentic | authentic
filing cabinet | filing cabinet
cemetary | cemetary
going to jail | going to jail
neat | neat
doctor himself | doctor himself
revealing information | more funding
his feet | surface of earth
sweating | walking out of
curry | curry
office building | house
grocery store | grocery store
relaxation | relaxation
lead pencil | card game
drugstore | drugstore
wedding party | wedding party
table | table
fast food restaurant | fast food restaurant
naked | naked
restlessness | restlessness
office | office
basement | basement
agony | agony
gettysburg address | state of union
cabinet | own home
edge | edge
park | california
grief | isolation
marriage | marriage
surface of earth | surface of earth
popularity | popularity
talent | talent
theater | theater
feel happy | feel happy
shelf | shelf
dirty dishes | dirty dishes
theater | theater
small case | small case
gift buyer | generous
chain | piano
school together | school together
boss | have knowledge
say goodbye | say goodbye
have legs | have legs
spinning wheel | spinning wheel
table | table
candy store | candy store
intoxicating | harmful
hotel | hotel
the ocean | body of water
big city | big city
landscape | landscape
watch film | watch film
lake | lake
create music | sadness
learn from each other | learn from each other
zoo | zoo
bathroom | bathroom
appear suddenly | appear suddenly
accomplish | accomplish
wave on | wave on
space shuttle | train station
fast food restaurant | fast food restaurant
pass sentence | pass sentence
house | house
library | health department
sit down | sit down
earth | earth
in-between | ignorance
cow | cow
rug | hospital
body of water | body of water
body armor | body armor
populated area | populated area
motel | motel
orchestra | orchestra
exchange | exchange
charming | charming
maps | maps
wine press | wine press
problems | inspiration
spreadsheet | spreadsheet
state park | fairgrounds
worry | getting bored
wall | office
conquer opponent | conquer opponent
unnecessary | unnecessary
airport | laundry room
police station | police station
bible | bible
furniture store | study
humidifier | humidifier
high walls | doors and windows
horns | two ears
concert hall | concert hall
frustration | frustration
appear beautiful | appear beautiful
terminal | airport
frequent | frequent
losing weight | losing weight
swimming | urinate
look attractive | look attractive
knowing more | growth
blowing hard | blowing hard
enjoy | enjoy
lake superior | lake superior
desk | desk
table | table
cupboard | cupboard
problems | problems
wet clothes | wet ground
sum | sum
reproduce | reproduce
garage | utility room
health | health
linen closet | linen closet
record store | record store
play piano | play piano
buy a book | learn to read
carry people | carry people
office supply store | office supply store
floor | floor
nome | tromsø
office supply store | office supply store
airport | airport
supermarket | chemistry lab
walking | walking
hands | hands
gym | gym
group together | group together
play | eat grass
bus stop | bus stop
bamboo grove | bamboo grove
light up | read book
feel sorry | feel sorry
nil | garden of eden
candy bar | candy bar
hall | office building
rhythmic movement | rhythmic movement
bathroom | hall
listen carefully | listen carefully
school | school
pay bills | pay bills
junk yard | junk yard
honest | honest
sea world | sea world
less confusion | less confusion
military base | school
lifting | holding
fabric store | fabric store
city centre | city centre
small group | small group
cupboard | cupboard
egg carton | egg carton
purse | desk drawer
air out | air out
exhilaration | exhilaration
petrify | petrify
toy store | toy store
distress | distress
school children | school children
tighten | bound
mix | with people
hear crowd go mad | hear crowd go mad
conversation | exchange of ideas
selfishness | cleanliness
retail store | retail store
museum exhibit | museum of natural history
refrigerator | jar
sit | sit
lake | pond
concordance | nodding
mouth | mouth
tomb | tomb
trunk | trunk
united states | united states
strain | strain
good karma | good karma
errors | errors
theater | relax
large room | large room
architect | architect
shoreline | coastal area
share things | sail boats
shopping mall | shopping mall
home depot | home depot
eyes opening | eyes opening
pleasure | pleasure
transistor | transistor
bite | bite
stress | complications
better job | better job
zoo | zoo
make payments | make payments
shower stall | old cheese
white house | new mexico
bar | bar
friend's house | friend's house
coffee | coffee
fitness centre | health club
work hard | work hard
known person | known person
study engineering | study engineering
subway | subway
pantry | utility closet
stress | become tired
rain | warm climate
getting drunk | drink too much
children | children
fear | fear
ride bike | walk
coffee shop | diner
exhilaration | reviving
classroom | classroom
meeting | meeting
bathroom | bathroom
flowers | flowers
post office | table
eye | eye
market | pizza
smiling | smiling
dinner | dinner
shake hands | shake hands
rude | well fed
regret | regret
work in school | work in school
office | office
searching for | searching for
fishing rod | fishing rod
sword | sword
television | television
internet cafe | internet cafe
garage | garage
not tall | punctured
fast lane | fast lane
watching tv | watching tv
floor | nature
enter school | enter school
supermarket | restaurant
increased knowledge | increased knowledge
civilization | civilization
run away | run away
hotel | swimming pool
battleship | military
cremated | murdered
cup | bowl
better day | bad breath
meditate | meditate
aquarium | coral reef
wage war | wage war
employability | employability
pretend | pretend
share food | share food
losing money | losing money
continue learning | continue learning
geometry | geometry
space shuttle | space shuttle
demonstration | demonstration
most cities | most cities
foreign | foreign
schoolyard | schoolyard
process information | become sensible
feet | feet
kitchen drawer | kitchen drawer
winter | winter
wall | wall
airport | airport
funny | funny
serve | serve
curiosity | excitement
pantry | kitchen cabinet
depression | conversation
apartment | apartment
sidewalk | garage
experiment | experiment
falling asleep | falling asleep
cabinet | cabinet
bring rain | bring rain
neighbor's house | neighbor's house
cool off | destroy enemy
grocery store | grocery store
comparison shopping | comparison shopping
sunset | daytime
contract | loose
talk | talk
conference | conference
very heavy | very heavy
movie theatre | movie theatre
going to court | going to court
end of line | end of line
to get a sexy tan | warm place
bleeding | bleeding
library | store room
carry people | cross river
preschool | preschool
phonebook | phonebook
dangerous | dangerous
good looking | competitive
map | map
cast shadow | cast shadow
fork | fork
memorize | learn
making music | making music
pornography | pornography
phone book | town
museum | tomb
fainting | fainting
fish market | tidepools
show | demonstration
bloodshot eyes | bloodshot eyes
cupboard | cupboard
art museum | art museum
bowling alley | bowling alley
library | library
crawl | crawl
suitcase | suitcase
wild ride | wild ride
arm | arm
pass water | pass water
orchard | orchard
making friends | getting paid for
skyscraper | apartment building
exceptional | worthy
theater | theater
tell time | tell time
opening | opening
